Onthology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0000228;CHMO: spectroscopy;spectroscopy;http://purl.obolibrary.org/obo/CHMO_0000228;=class,OBI:0000070(action)
CHMO:0000480;CHMO: electron ionisation mass spectrometry;EI-MS;http://purl.obolibrary.org/obo/CHMO_0000480;=detector,CHMO:0002862(subtype)
CHMO:0000497;CHMO: gas chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000497;
CHMO:0000524;CHMO: liquid chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000524;
CHMO:0002876;CHMO: high performance liquid chromatography-tandem mass spectrometry;HPLC/MS;http://purl.obolibrary.org/obo/CHMO_0002876;=subtype,CHMO:0001004(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
CHMO:0002862;CHMO: gas chromatography-tandem mass spectrometry;GC/MS;http://purl.obolibrary.org/obo/CHMO_0002862;=subtype,CHMO:0001002(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
CHMO:0000701;CHMO: liquid chromatography-tandem mass spectrometry;LC/MS;http://purl.obolibrary.org/obo/CHMO_0000701;=subtype,CHMO:0001004(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
;;;;
CHMO:0000796;CHMO: high-performance liquid chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000796;
CHMO:0000229;CHMO: acoustic emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000229;
CHMO:0000230;CHMO: alpha-particle spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000230;
CHMO:0000232;CHMO: electronic spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000232;
CHMO:0000233;CHMO: atomic spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000233;
CHMO:0000234;CHMO: atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000234;
CHMO:0000235;CHMO: atomic absorption glow-discharge spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000235;
CHMO:0000236;CHMO: cold vapour atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000236;
CHMO:0000237;CHMO: electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000237;
CHMO:0000238;CHMO: capillary electrophoresis-electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000238;
CHMO:0000239;CHMO: graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000239;
CHMO:0000240;CHMO: slurry sampling graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000240;
CHMO:0000241;CHMO: solid sampling graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000241;
CHMO:0000242;CHMO: quartz tube atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000242;
CHMO:0000244;CHMO: thermospray flame furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000244;
CHMO:0000245;CHMO: flow injection thermospray flame furnace absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000245;
CHMO:0000243;CHMO: flame atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000243;
CHMO:0000246;CHMO: flow injection atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000246;
CHMO:0000247;CHMO: flow injection electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000247;
CHMO:0000248;CHMO: flow injection flame atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000248;
CHMO:0000249;CHMO: hydride generation atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000249;
CHMO:0000250;CHMO: line-source atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000250;
CHMO:0000251;CHMO: atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000251;
CHMO:0000252;CHMO: electrothermal atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000252;
