Ontology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0001724;CHMO: helium discharge ionisation detection;BID;http://purl.obolibrary.org/obo/CHMO_0001724;"=detector,CHMO:0001002(subtype);"
CHMO:0001719;CHMO: flame ionisation detection;FID;http://purl.obolibrary.org/obo/CHMO_0001719;"=detector,CHMO:0001002(subtype);=detector,CHMO:0002862(subtype);"
CHMO:0001718;CHMO: evaporative light scattering detection;ELSD;http://purl.obolibrary.org/obo/CHMO_0001718;"=detector,CHMO:0001009(subtype);=detector,CHMO:0002582(subtype);=detector,CHMO:0002876(subtype);=detector,ChemASAP:0000001(subtype);"
CHMO:0001728;CHMO: photodiode array detection;PDA/DAD;http://purl.obolibrary.org/obo/CHMO_0001728;"=detector,CHMO:0001009(subtype);=detector,CHMO:0002582(subtype);=detector,CHMO:0002876(subtype);=detector,ChemASAP:0000001(subtype);"
CHMO:0000057;CHMO: detection method;;http://purl.obolibrary.org/obo/CHMO_0001709;
CHMO:0001709;CHMO: luminescence detection;;http://purl.obolibrary.org/obo/CHMO_0000057;
CHMO:0000058;CHMO: chemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0000058;
CHMO:0000059;CHMO: sonochemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0000059;
CHMO:0001200;CHMO: electrochemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001200;
CHMO:0001231;CHMO: catalysed chemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001231;
CHMO:0002722;CHMO: chemiluminescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002722;
CHMO:0000760;CHMO: resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000760;
CHMO:0000062;CHMO: Forster resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000062;
CHMO:0000063;CHMO: bioluminescence resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000063;
CHMO:0000064;CHMO: fluorescence resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000064;
CHMO:0000759;CHMO: plasmon resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000759;
CHMO:0001255;CHMO: electroluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001255;
CHMO:0001256;CHMO: sonoluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001256;
CHMO:0001257;CHMO: photoluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001257;
CHMO:0000060;CHMO: fluorescence detection;;http://purl.obolibrary.org/obo/CHMO_0000060;
CHMO:0000061;CHMO: flow cytometry;;http://purl.obolibrary.org/obo/CHMO_0000061;
CHMO:0001085;CHMO: fluorescence-activated cell sorting;;http://purl.obolibrary.org/obo/CHMO_0001085;
CHMO:0002093;CHMO: fluorescence-activated droplet sorting;;http://purl.obolibrary.org/obo/CHMO_0002093;
CHMO:0002730;CHMO: chemical cytometry;;http://purl.obolibrary.org/obo/CHMO_0002730;
CHMO:0000065;CHMO: fluorescence recovery after photobleaching;;http://purl.obolibrary.org/obo/CHMO_0000065;
CHMO:0001964;CHMO: enzyme-dependent fluorescence recovery after photobleaching;;http://purl.obolibrary.org/obo/CHMO_0001964;
CHMO:0000287;CHMO: fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000287;
CHMO:0000288;CHMO: fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000288;
CHMO:0000289;CHMO: fluorescence cross-correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000289;
CHMO:0000761;CHMO: confocal fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000761;
CHMO:0000762;CHMO: scanning fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000762;
CHMO:0002284;CHMO: raster image correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002284;
CHMO:0000765;CHMO: total internal reflection fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000765;
CHMO:0000766;CHMO: supercritical angle fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000766;
CHMO:0000767;CHMO: image correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000767;
CHMO:0002141;CHMO: high-pressure fluorescence correlation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002141;
CHMO:0001240;CHMO: differential scanning fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0001240;
CHMO:0001917;CHMO: time-resolved fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0001917;
CHMO:0001919;CHMO: single-molecule fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0001919;
CHMO:0002187;CHMO: generalised polarisation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002187;
CHMO:0002188;CHMO: laurdan generalised polarisation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002188;
CHMO:0002522;CHMO: excitation–emission matrix fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002522;
CHMO:0002714;CHMO: steady-state fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002714;
CHMO:0000290;CHMO: fluorescence anisotropy;;http://purl.obolibrary.org/obo/CHMO_0000290;
CHMO:0001918;CHMO: time-resolved fluorescence anisotropy;;http://purl.obolibrary.org/obo/CHMO_0001918;
CHMO:0001722;CHMO: laser-induced fluorescence detection;;http://purl.obolibrary.org/obo/CHMO_0001722;
CHMO:0001742;CHMO: liquid chromatography-fluorescence detection;;http://purl.obolibrary.org/obo/CHMO_0001742;
CHMO:0001963;CHMO: time-correlated single photon counting;;http://purl.obolibrary.org/obo/CHMO_0001963;
CHMO:0002406;CHMO: fluorescence quenching method;;http://purl.obolibrary.org/obo/CHMO_0002406;
CHMO:0000066;CHMO: time-resolved fluorescence quenching;;http://purl.obolibrary.org/obo/CHMO_0000066;
CHMO:0000773;CHMO: photoluminescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000773;
CHMO:0000878;CHMO: microphotoluminescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000878;
CHMO:0002299;CHMO: phosphorescence detection;;http://purl.obolibrary.org/obo/CHMO_0002299;
