Onthology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0002231;CHMO: purification;Separate/Purify;http://purl.obolibrary.org/obo/CHMO_0002231;"=action;"
CHMO:0001640;CHMO: filtration;;http://purl.obolibrary.org/obo/CHMO_0001640;
CHMO:0001641;CHMO: micro-filtration;;http://purl.obolibrary.org/obo/CHMO_0001641;
CHMO:0001642;CHMO: nano-filtration;;http://purl.obolibrary.org/obo/CHMO_0001642;
CHMO:0001643;CHMO: reverse osmosis;;http://purl.obolibrary.org/obo/CHMO_0001643;
CHMO:0001644;CHMO: suction filtration;;http://purl.obolibrary.org/obo/CHMO_0001644;
CHMO:0001645;CHMO: ultra-filtration;;http://purl.obolibrary.org/obo/CHMO_0001645;
CHMO:0002066;CHMO: trituration;;http://purl.obolibrary.org/obo/CHMO_0002066;
CHMO:0002217;CHMO: sample sublimation;;http://purl.obolibrary.org/obo/CHMO_0002217;
CHMO:0002218;CHMO: fractional sublimation;;http://purl.obolibrary.org/obo/CHMO_0002218;
CHMO:0002219;CHMO: vacuum sublimation;;http://purl.obolibrary.org/obo/CHMO_0002219;
CHMO:0002220;CHMO: high-vacuum sublimation;;http://purl.obolibrary.org/obo/CHMO_0002220;
