Ontology ID;Ontology Name;Custom Label;Link;Roles;;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C25571;Mode;mode;http://purl.obolibrary.org/obo/NCIT_C25571;;;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C45790;Device;device;http://purl.obolibrary.org/obo/NCIT_C45790;;;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C45790;Solvent;solvent;http://purl.obolibrary.org/obo/NCIT_C45790;;;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C48187;Material;material;http://purl.obolibrary.org/obo/NCIT_C48187;;;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C63513;Manual;manual;http://purl.obolibrary.org/obo/NCIT_C63513;"=mode;";;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C172484;semi-automated;semi-automated;http://purl.obolibrary.org/obo/NCIT_C172484;"=mode;";;;;;;;;;;;;;;;;;;;;;;;;
NCIT:C70669;Automatic;automated;http://purl.obolibrary.org/obo/NCIT_C70669;"=mode;";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0000070;assay;Assay/Analysis;http://purl.obolibrary.org/obo/OBI_0000070;"=action;";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000228;spectroscopy;spectroscopy;http://purl.obolibrary.org/obo/CHMO_0000228;"=class,OBI:0000070(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000591;nuclear magnetic resonance spectroscopy;NMR;http://purl.obolibrary.org/obo/CHMO_0000591;"=type,CHMO:0000228(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000594;11B nuclear magnetic resonance spectroscopy;11B-NMR;http://purl.obolibrary.org/obo/CHMO_0000594;"=subtype,CHMO:0000591(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000595;13C nuclear magnetic resonance spectroscopy;13C-NMR;http://purl.obolibrary.org/obo/CHMO_0000595;"=subtype,CHMO:0000591(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000567;15N nuclear magnetic resonance spectroscopy;15N-NMR;http://purl.obolibrary.org/obo/CHMO_0000567;"=subtype,CHMO:0000591(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000597;19F nuclear magnetic resonance spectroscopy;19F-NMR;http://purl.obolibrary.org/obo/CHMO_0000597;"=subtype,CHMO:0000591(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000593;1H nuclear magnetic resonance spectroscopy;1H-NMR;http://purl.obolibrary.org/obo/CHMO_0000593;"=subtype,CHMO:0000591(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000636;Fourier transform infrared spectroscopy;FT-IR;http://purl.obolibrary.org/obo/CHMO_0000636;"=type,CHMO:0000228(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000763;attenuated total reflectance Fourier transform infrared spectroscopy;FT-IR ATR;http://purl.obolibrary.org/obo/CHMO_0000763;"=subtype,CHMO:0000636(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000292;ultraviolet-visible spectrophotometry;UV-VIS;http://purl.obolibrary.org/obo/CHMO_0000292;"=type,CHMO:0000228(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000293;differential optical absorption spectrophotometry;UV-VIS Absorbiton;http://purl.obolibrary.org/obo/CHMO_0000293;"=subtype,CHMO:0000292(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000294;reflectance ultraviolet-visible spectrophotometry;UV-VIS Reflectance;http://purl.obolibrary.org/obo/CHMO_0000294;"=subtype,CHMO:0000292(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000287;fluorescence spectroscopy;Fluorescence;http://purl.obolibrary.org/obo/CHMO_0000287;"=subtype,CHMO:0000292(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002231;purification;Purification/Separation;http://purl.obolibrary.org/obo/CHMO_0002231;"=action;";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0302886;centrifugation;Centrifugation;http://purl.obolibrary.org/obo/OBI_0302886;"=class,CHMO:0002231(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001577;extraction;Extraction;http://purl.obolibrary.org/obo/CHMO_0001577;"=class,CHMO:0002231(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001477;crystallisation;Crystallisation;http://purl.obolibrary.org/obo/CHMO_0001477;"=class,CHMO:0002231(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001640;filtration;Filtration;http://purl.obolibrary.org/obo/CHMO_0001640;"=class,CHMO:0002231(action);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0000274;adding a material entity into a target;Add;http://purl.obolibrary.org/obo/OBI_0000274;"=class,CPOKIT:0000006(action);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0000383;transfer function;Transfer;http://purl.obolibrary.org/obo/OBI_0000383;"=class,CPOKIT:0000006(action);";;;;;;;;;;;;;;;;;;;;;;;;
PATO:0001735;liquid configuration;Liquid;http://purl.obolibrary.org/obo/PATO_0001735;"=type,OBI:0000274(class);=type,OBI:0000383(class);";;;;;;;;;;;;;;;;;;;;;;;;
PATO:0001737;gaseus configuration;Gas;http://purl.obolibrary.org/obo/PATO_0001737;"=type,OBI:0000274(class);";;;;;;;;;;;;;;;;;;;;;;;;
PATO:0001736;solid configuration;Solid;http://purl.obolibrary.org/obo/PATO_0001736;"=type,OBI:0000274(class);=type,OBI:0000383(class);";;;;;;;;;;;;;;;;;;;;;;;;
PATO:0001693;increased viscosity;Visocus;http://purl.obolibrary.org/obo/PATO_0001693;"=type,OBI:0000274(class);=type,OBI:0000383(class);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0002488;pipette;Pipette;http://purl.obolibrary.org/obo/OBI_0002488;"=subtype,PATO:0001735(type);=subtype,PATO:0001693(type);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0005246;inject function;Cannula;http://purl.obolibrary.org/obo/OBI_0005246;"=subtype,PATO:0001735(type);=subtype,PATO:0001737(type);";;;;;;;;;;;;;;;;;;;;;;;;
OBI:0002785;aspiration specimen collection;Aspiration;http://purl.obolibrary.org/obo/OBI_0002785;"=subtype,PATO:0001736(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001000;chromatography;Chromatography;http://purl.obolibrary.org/obo/CHMO_0001000;"=class,CHMO:0002231(action); =class,OBI:0000070(action);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001002;gas chromatography;GC;http://purl.obolibrary.org/obo/CHMO_0001002;"=type,CHMO:0001000(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001004;liquid chromatography;LC;http://purl.obolibrary.org/obo/CHMO_0001004;"=type,CHMO:0001000(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001007;thin-layer chromatography;TLC;http://purl.obolibrary.org/obo/CHMO_0001007;"=type,CHMO:0001000(class);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002882;high-performance thin-layer chromatography;HP-TLC;http://purl.obolibrary.org/obo/CHMO_0002882;"=subtype,CHMO:0001007(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002582;flash chromatography;Flash Chromatography;http://purl.obolibrary.org/obo/CHMO_0002582;"=subtype,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001013;size-exclusion chromatography;SEC;http://purl.obolibrary.org/obo/CHMO_0001013;"=subtype,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001736;gas chromatography-flame ionisation detection;GC-FID;http://purl.obolibrary.org/obo/CHMO_0001736;"=subtype,CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002862;gas chromatography-tandem mass spectrometry;GC/EI-MS;http://purl.obolibrary.org/obo/CHMO_0002862;"=subtype,CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001009;high-performance liquid chromatography;HPLC;http://purl.obolibrary.org/obo/CHMO_0001009;"=subtype,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002876;high performance liquid chromatography-tandem mass spectrometry;HPLC/ESI-MS;http://purl.obolibrary.org/obo/CHMO_0002876;"=subtype,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001003;supercritical-fluid chromatography;SFC;http://purl.obolibrary.org/obo/CHMO_0001003;"=subtype,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001724;helium discharge ionisation detection;BID;http://purl.obolibrary.org/obo/CHMO_0001724;"=detector,CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000480;electron ionisation mass spectrometry;EI-MS;http://purl.obolibrary.org/obo/CHMO_0000480;"=detector,CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002866;evaporative light scattering detector;ELSD;http://purl.obolibrary.org/obo/CHMO_0002866;"=detector,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002337;electrospray ionisation quadrupole detection;ESI-MS;http://purl.obolibrary.org/obo/CHMO_0002337;"=detector,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001719;flame ionisation detection;FID;http://purl.obolibrary.org/obo/CHMO_0001719;"=detector,CHMO:0001002(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0001728;photodiode array detection;PDA/DAD;http://purl.obolibrary.org/obo/CHMO_0001728;"=detector,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0002585;refractive index detector;RI;http://purl.obolibrary.org/obo/CHMO_0002585;"=detector,CHMO:0001004(type);";;;;;;;;;;;;;;;;;;;;;;;;
